GPU TEMP,GPU MEMORY USE,GPU POWER USE,GPU CORE UTILIZATION,CPU USE PERCENTAGE,RAM USE IN BYTES
88,7800,23,97,23.5668,336310136373
88,7800,16,99,23.57,336271734499
88,7800,16,98,23.5728,336194930752
88,7800,98,99,23.5759,336185498712
88,7800,81,98,23.578,336165287200
88,7800,21,98,23.581,336072987959
88,7800,24,99,23.5838,336101284077
88,7800,19,98,23.5874,336194257035
88,7800,27,97,23.5908,336177414107
88,7800,06,98,23.5939,336154507727
88,7800,81,98,23.5963,336197625620
88,7800,13,99,23.5992,336126885326
88,7800,11,98,23.6023,336202341640
88,7800,22,98,23.6063,336190888449
88,7800,11,98,23.6091,336262302460
88,7800,09,98,23.6119,336095220623
88,7800,87,99,23.6146,336158550029
89,7800,08,98,23.617,336027175198
89,7800,33,98,23.6199,336109368682
88,7800,29,99,23.6236,336156528878
88,7800,08,98,23.6265,336198973054
88,7800,10,98,23.6295,336122169307
88,7800,89,98,23.6319,336043344408
89,7800,11,98,23.6354,336149791707
89,7800,31,97,23.6385,336087809735
88,7800,99,99,23.6421,336202341640
89,7800,10,98,23.645,336241417230
89,7800,15,99,23.6479,336266344763
89,7800,88,98,23.6509,336194257035
88,7800,05,97,23.6538,336079725130
89,7800,15,98,23.656,336095894340
88,7800,18,98,23.6595,336078377696
89,7800,23,97,23.6622,336138338517
89,7800,05,98,23.6658,335843924151
88,7800,86,98,23.6685,335916011879
89,7800,89,99,23.6713,335942286845
89,7800,17,98,23.6743,335937570825
89,7800,15,97,23.678,335908600991
89,7800,07,98,23.6811,335871546551
88,7800,27,98,23.6836,335861440795
89,7800,85,99,23.6863,335973951548
89,7800,00,98,23.6893,336192909600
88,7800,25,98,23.6923,336084441150
88,7800,18,98,23.696,336155181444
89,7800,32,98,23.6984,336082419999
89,7800,28,98,23.7017,336054797598
89,7800,91,98,23.7038,336021785461
89,7800,77,98,23.7065,336014374573
88,7800,18,99,23.7097,336124864175
89,7800,20,98,23.7128,336009658553
89,7800,23,97,23.7155,336067598223
89,7800,07,98,23.7181,336028522632
89,7800,88,98,23.7207,336056818749
89,7800,09,99,23.7234,336068271940
89,7800,08,98,23.7263,336080398847
89,7800,35,98,23.73,336080398847
89,7800,23,99,23.7337,335921401615
89,7800,31,98,23.7363,336195604469
89,7800,92,98,23.739,336140359668
89,7800,87,98,23.7418,336046712993
89,7800,06,98,23.7444,336101957794
89,7800,27,99,23.7476,335802153692
89,7800,14,98,23.7509,335924770201
89,7800,26,98,23.7534,335872893985
89,7800,96,97,23.7562,336019764310
89,7800,94,98,23.7586,336001573948
89,7800,31,98,23.7619,335943634279
89,7800,13,99,23.7656,335917359313
89,7800,26,98,23.7691,335981362436
89,7800,05,97,23.7725,335983383587
89,7800,93,98,23.7754,335958456055
89,7800,02,98,23.778,335994163061
89,7800,19,99,23.7813,335969909245
89,7800,27,98,23.7848,335957782338
89,7800,17,97,23.7878,335839881848
89,7800,28,98,23.7919,335758362081
89,7800,84,98,23.7973,335955087470
89,7800,10,99,23.8016,335907927274
89,7800,34,98,23.8093,335961150923
89,7800,22,99,23.8137,335986752173
89,7800,17,98,23.8173,335967214377
89,7800,26,97,23.8201,335997531646
89,7800,95,98,23.8235,336176066673
89,7800,88,98,23.8265,336078377696
89,7800,18,98,23.8299,336079051413
89,7800,02,98,23.8326,336068271940
89,7800,06,98,23.8356,335953066318
89,7800,23,98,23.8383,335913317010
89,7800,95,98,23.8413,335919380464
89,7800,83,99,23.8438,336056818749
89,7800,08,98,23.8463,336019090593
89,7800,28,98,23.8499,335821691487
89,7800,10,98,23.8534,335934875957
89,7800,08,98,23.8566,336087136018
89,7800,91,99,23.8599,335963172075
89,7800,79,98,23.8624,336037954671
89,7800,34,98,23.8652,336044691842
89,7800,12,98,23.8689,336064903354
89,7800,10,98,23.8721,336202341640
89,7800,01,97,23.877,336008984836
89,7800,30,98,23.8837,335876936288
89,7800,26,98,23.8868,335980015002
89,7800,86,98,23.8921,336048060427
89,7800,95,99,23.8961,336015048290
89,7800,18,99,23.8991,336093199472
89,7800,30,98,23.9034,336172698088
89,7800,25,97,23.907,336064229637
89,7800,11,98,23.9098,336021111744
89,7800,87,98,23.9133,336034586086
89,7800,18,98,23.9184,336148444273
89,7800,09,98,23.9211,336160571180
89,7800,29,97,23.9247,336114758419
89,7800,11,98,23.9291,336261628743
89,7800,17,98,23.9322,336117453287
89,7800,05,98,23.9364,336062882203
89,7800,88,98,23.94,335990120758
89,7800,29,97,23.9433,335899168952
89,7800,84,98,23.9464,336137664799
89,7800,09,98,23.9505,336129580194
89,7800,31,99,23.9548,335994163061
89,7800,29,98,23.9573,335991468192
89,7800,92,98,23.96,336112063550
89,7800,76,98,23.963,335996857929
89,7800,85,98,23.9657,336048060427
89,7800,04,98,23.9684,336130927629
89,7800,15,98,23.9712,336046712993
89,7800,07,98,23.9736,336061534769
89,7800,90,98,23.9763,336118800721
89,7800,88,98,23.979,336110716116
89,7800,11,99,23.9819,335978667568
89,7800,18,98,23.9847,336003595100
89,7800,16,98,23.9879,336119474438
89,7800,10,98,23.9905,336109368682
89,7800,86,98,23.9931,336070293091
89,7800,88,99,23.9956,336197625620
89,7800,21,97,23.9983,336100610360
89,7800,15,97,24.0015,336103978945
89,7800,12,99,24.0042,336239396079
89,7800,09,98,24.0069,336219858284
89,7800,85,98,24.0095,336048734144
89,7800,11,98,24.0125,335982036153
89,7800,26,98,24.0158,335909948425
89,7800,09,98,24.0188,335929486220
89,7800,23,98,24.0215,335893779215
89,7800,89,98,24.024,336015048290
89,7800,10,99,24.0269,335911969576
89,7800,19,98,24.03,335963172075
89,7800,22,98,24.0339,336025827763
89,7800,22,98,24.0362,335980015002
89,7800,05,98,24.0391,336089157169
89,7800,85,99,24.0417,336157202595
89,7800,12,98,24.0446,336126211609
89,7800,42,98,24.048,335876936288
89,7800,30,99,24.0511,335986752173
89,7800,28,98,24.0536,336200994205
89,7800,90,99,24.0563,336044691842
89,7800,92,98,24.0588,336163939766
89,7800,24,98,24.0622,336055471315
89,7800,21,99,24.0657,336085788584
89,7800,28,98,24.0682,336067598223
89,7800,16,98,24.0713,336161244897
